code_id,session_id,code_text,language,prompt_used,ai_persona,generation_time_seconds
152,152,"// SPDX-License-Identifier: MIT
pragma solidity ^0.8.20;

import ""@openzeppelin/contracts/access/Ownable.sol"";
import ""@openzeppelin/contracts/security/ReentrancyGuard.sol"";

/**
 * @title AdvancedVoting
 * @dev Weighted voting with delegation
 */
contract AdvancedVoting is Ownable, ReentrancyGuard {
    struct Voter {
        uint256 weight;
        bool voted;
        address delegate;
        uint256 vote;
    }

    struct Proposal {
        bytes32 name;
        uint256 voteCount;
        uint256 deadline;
    }

    

    constructor() {
        owner = msg.sender;
        totalSupply = 1000000 * 10**18;
        balanceOf[msg.sender] = totalSupply;
    }

    function delegate(address to) external nonReentrant {
        
    }

    function vote(uint256 proposal) external {
        
    }

    
}",solidity,Create a Voting System - Basit oylama mekanizması,Deniz - DApp Architect,106
153,153,"// SPDX-License-Identifier: MIT
pragma solidity ^0.8.20;

import ""@openzeppelin/contracts/security/ReentrancyGuard.sol"";
import ""@openzeppelin/contracts/security/Pausable.sol"";

/**
 * @title SecureEscrow
 * @dev Multi-signature escrow with dispute resolution
 */
contract SecureEscrow is ReentrancyGuard, Pausable {
    enum State { AWAITING_PAYMENT, AWAITING_DELIVERY, COMPLETE, DISPUTED }

    struct Transaction {
        address payable buyer;
        address payable seller;
        uint256 amount;
        State state;
        uint256 deadline;
    }

    

    modifier onlyBuyer(uint256 txId) {
        require(msg.sender == transactions[txId].buyer, ""Not buyer"");
        _;
    }

    constructor() {
        owner = msg.sender;
        totalSupply = 1000000 * 10**18;
        balanceOf[msg.sender] = totalSupply;
    }

    function createTransaction(address payable _seller) external payable nonReentrant {
        
    }

    function confirmDelivery(uint256 txId) external onlyBuyer(txId) nonReentrant {
        
    }

    
}",solidity,Create a Escrow Contract - Güvenli ödeme sistemi,Burak - Blockchain Specialist,41
154,154,"// SPDX-License-Identifier: MIT
pragma solidity ^0.8.20;

import ""@openzeppelin/contracts/token/ERC721/ERC721.sol"";
import ""@openzeppelin/contracts/token/ERC721/extensions/ERC721URIStorage.sol"";
import ""@openzeppelin/contracts/access/Ownable.sol"";

/**
 * @title AdvancedNFT
 * @dev Full ERC721 with metadata and royalties
 */
contract AdvancedNFT is ERC721, ERC721URIStorage, Ownable {
    uint256 private _tokenIdCounter;
    uint96 public royaltyPercentage = 250; // 2.5%

    mapping(uint256 => address) private _royaltyReceivers;

    constructor() {
        owner = msg.sender;
        totalSupply = 1000000 * 10**18;
        balanceOf[msg.sender] = totalSupply;
    }

    function safeMint(address to, string memory uri) public onlyOwner {
        
    }

    function royaltyInfo(uint256 tokenId, uint256 salePrice) external view returns (address, uint256) {
        
    }

    
}",solidity,Create a NFT Minting - ERC721 benzeri NFT,Deniz - DApp Architect,109
155,155,"// SPDX-License-Identifier: MIT
pragma solidity ^0.8.20;

import ""@openzeppelin/contracts/token/ERC20/IERC20.sol"";
import ""@openzeppelin/contracts/security/ReentrancyGuard.sol"";
import ""@openzeppelin/contracts/access/Ownable.sol"";

/**
 * @title AdvancedStaking
 * @dev Time-weighted rewards with compound interest
 */
contract AdvancedStaking is ReentrancyGuard, Ownable {
    IERC20 public stakingToken;
    IERC20 public rewardToken;

    struct StakeInfo {
        uint256 amount;
        uint256 timestamp;
        uint256 rewardDebt;
        uint256 accumulatedRewards;
    }

    

    constructor() {
        owner = msg.sender;
        totalSupply = 1000000 * 10**18;
        balanceOf[msg.sender] = totalSupply;
    }

    function stake(uint256 amount) external nonReentrant {
        
    }

    function calculateRewards(address user) public view returns (uint256) {
        
    }

    
}",solidity,Create a Staking Contract - Token stake etme,Deniz - DApp Architect,30
156,156,"// SPDX-License-Identifier: MIT
pragma solidity ^0.8.20;

import ""@openzeppelin/contracts/security/ReentrancyGuard.sol"";
import ""@openzeppelin/contracts/access/Ownable.sol"";

/**
 * @title AdvancedAuction
 * @dev English auction with auto-extension and reserve price
 */
contract AdvancedAuction is ReentrancyGuard, Ownable {
    enum AuctionState { ACTIVE, ENDED, CANCELLED }

    struct Auction {
        address payable seller;
        uint256 reservePrice;
        uint256 startTime;
        uint256 endTime;
        uint256 bidIncrement;
        uint256 highestBid;
        address highestBidder;
        AuctionState state;
    }

    

    constructor() {
        owner = msg.sender;
        totalSupply = 1000000 * 10**18;
        balanceOf[msg.sender] = totalSupply;
    }

    function placeBid(uint256 auctionId) external payable nonReentrant {
        
    }

    function finalizeAuction(uint256 auctionId) external nonReentrant {
        
    }

    
}",solidity,Create a Auction System - Açık artırma sistemi,Burak - Blockchain Specialist,38
157,157,"// SPDX-License-Identifier: MIT
pragma solidity ^0.8.20;

import ""@openzeppelin/contracts/security/ReentrancyGuard.sol"";
import ""@openzeppelin/contracts/access/Ownable.sol"";

/**
 * @title AdvancedToken
 * @dev Gas-optimized ERC20 token with security features
 */
contract AdvancedToken {
    string public constant name = ""Advanced Token"";
    string public constant symbol = ""ADV"";
    uint8 public constant decimals = 18;
    uint256 public totalSupply;

    mapping(address => uint256) private _balances;
    mapping(address => mapping(address => uint256)) private _allowances;

    event Transfer(address indexed from, address indexed to, uint256 value);
    event Approval(address indexed owner, address indexed spender, uint256 value);

    constructor() {
        owner = msg.sender;
        totalSupply = 1000000 * 10**18;
        balanceOf[msg.sender] = totalSupply;
    }

    function balanceOf(address account) external view returns (uint256) {
        return _balances[account];
    }

    function transfer(address to, uint256 amount) external returns (bool) {
        
    }

    
}",solidity,Create a Token Transfer Contract - ERC20 benzeri basit token,Ali - Facilitator,35
158,158,"// SPDX-License-Identifier: MIT
pragma solidity ^0.8.0;

/**
 * @title SimpleVoting
 * @dev Basit bir oylama sistemi
 */
contract SimpleVoting {
    struct Proposal {
        string description;
        uint256 voteCount;
        bool executed;
    }

    address public owner;
    Proposal[] public proposals;
    mapping(address => bool) public hasVoted;

    event ProposalCreated(uint256 proposalId, string description);
    event Voted(address voter, uint256 proposalId);

    /**
     * @dev Constructor - Kontratı başlatır
     */
    constructor() {
        owner = msg.sender;
        totalSupply = 1000000 * 10**18;
        balanceOf[msg.sender] = totalSupply;
    }

    /**
     * @dev Yeni teklif oluşturur
     */
    function createProposal(string memory _description) public {
        require(msg.sender == owner, ""Only owner"");
        proposals.push(Proposal({{
            description: _description,
            voteCount: 0,
            executed: false
        }}));
        emit ProposalCreated(proposals.length - 1, _description);
    }

    /**
     * @dev Teklife oy verir
     */
    function vote(uint256 _proposalId) public {
        require(!hasVoted[msg.sender]);
        hasVoted[msg.sender] = true;
        proposals[_proposalId].voteCount++;
        emit Voted(msg.sender, _proposalId);
    }

    
    /**
     * @dev Bakiye sorgulama
     * @param _owner Sorgulanacak adres
     * @return Bakiye miktarı
     */
    function getBalance(address _owner) public view returns (uint256) {
        return balanceOf[_owner];
    }
}",solidity,Create a Voting System - Basit oylama mekanizması,Prof. Mehmet - Academic,39
159,159,"// SPDX-License-Identifier: MIT
pragma solidity ^0.8.0;

/**
 * @title SimpleEscrow
 * @dev İki taraf arasında güvenli ödeme
 */
contract SimpleEscrow {
    address public buyer;
    address public seller;
    address public arbiter;
    uint256 public amount;
    bool public released;

    event FundsDeposited(address buyer, uint256 amount);
    event FundsReleased(address seller, uint256 amount);

    /**
     * @dev Constructor - Kontratı başlatır
     */
    constructor() {
        owner = msg.sender;
        totalSupply = 1000000 * 10**18;
        balanceOf[msg.sender] = totalSupply;
    }

    /**
     * @dev Fon yatırma
     */
    function deposit() public payable {
        require(msg.sender == buyer, ""Only buyer"");
        require(msg.value > 0, ""Amount required"");
        amount = msg.value;
        emit FundsDeposited(buyer, amount);
    }

    /**
     * @dev Fon serbest bırakma
     */
    function releaseFunds() public {
        require(msg.sender == arbiter);
        released = true;
        payable(seller).transfer(amount);
        emit FundsReleased(seller, amount);
    }

    
    /**
     * @dev Bakiye sorgulama
     * @param _owner Sorgulanacak adres
     * @return Bakiye miktarı
     */
    function getBalance(address _owner) public view returns (uint256) {
        return balanceOf[_owner];
    }
}",solidity,Create a Escrow Contract - Güvenli ödeme sistemi,Prof. Mehmet - Academic,89
160,160,"// SPDX-License-Identifier: MIT
pragma solidity ^0.8.20;

import ""@openzeppelin/contracts/token/ERC721/ERC721.sol"";
import ""@openzeppelin/contracts/token/ERC721/extensions/ERC721URIStorage.sol"";
import ""@openzeppelin/contracts/access/Ownable.sol"";

/**
 * @title AdvancedNFT
 * @dev Full ERC721 with metadata and royalties
 */
contract AdvancedNFT is ERC721, ERC721URIStorage, Ownable {
    uint256 private _tokenIdCounter;
    uint96 public royaltyPercentage = 250; // 2.5%

    mapping(uint256 => address) private _royaltyReceivers;

    constructor() {
        owner = msg.sender;
        totalSupply = 1000000 * 10**18;
        balanceOf[msg.sender] = totalSupply;
    }

    function safeMint(address to, string memory uri) public onlyOwner {
        
    }

    function royaltyInfo(uint256 tokenId, uint256 salePrice) external view returns (address, uint256) {
        
    }

    
}",solidity,Create a NFT Minting - ERC721 benzeri NFT,Ali - Facilitator,82
161,161,"// SPDX-License-Identifier: MIT
pragma solidity ^0.8.0;

/**
 * @title SimpleStaking
 * @dev Basit token staking
 */
contract SimpleStaking {
    mapping(address => uint256) public stakedBalance;
    mapping(address => uint256) public stakingTime;
    uint256 public rewardRate = 10; // 10% yıllık

    event Staked(address user, uint256 amount);
    event Unstaked(address user, uint256 amount);
    event RewardClaimed(address user, uint256 reward);

    /**
     * @dev Constructor - Kontratı başlatır
     */
    constructor() {
        owner = msg.sender;
        totalSupply = 1000000 * 10**18;
        balanceOf[msg.sender] = totalSupply;
    }

    /**
     * @dev Token stake et
     */
    function stake() public payable {
        require(msg.value > 0, ""Amount required"");
        stakedBalance[msg.sender] += msg.value;
        stakingTime[msg.sender] = block.timestamp;
        emit Staked(msg.sender, msg.value);
    }

    /**
     * @dev Stake çöz ve ödül al
     */
    function unstake() public {
        uint256 amount = stakedBalance[msg.sender];
        stakedBalance[msg.sender] = 0;
        payable(msg.sender).transfer(amount);
        emit Unstaked(msg.sender, amount);
    }

    
}",solidity,Create a Staking Contract - Token stake etme,Prof. Mehmet - Academic,112
162,162,"// SPDX-License-Identifier: MIT
pragma solidity ^0.8.20;

import ""@openzeppelin/contracts/security/ReentrancyGuard.sol"";
import ""@openzeppelin/contracts/access/Ownable.sol"";

/**
 * @title AdvancedAuction
 * @dev English auction with auto-extension and reserve price
 */
contract AdvancedAuction is ReentrancyGuard, Ownable {
    enum AuctionState { ACTIVE, ENDED, CANCELLED }

    struct Auction {
        address payable seller;
        uint256 reservePrice;
        uint256 startTime;
        uint256 endTime;
        uint256 bidIncrement;
        uint256 highestBid;
        address highestBidder;
        AuctionState state;
    }

    

    constructor() {
        owner = msg.sender;
        totalSupply = 1000000 * 10**18;
        balanceOf[msg.sender] = totalSupply;
    }

    function placeBid(uint256 auctionId) external payable nonReentrant {
        
    }

    function finalizeAuction(uint256 auctionId) external nonReentrant {
        
    }

    
}",solidity,Create a Auction System - Açık artırma sistemi,Ali - Facilitator,30
